sport,sport_type,sport_location,city,region,latitude,longitude
recreational,multi-sport,aire de planche à roulette,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
sports,multi-sport,soccer / football,montréal,saint-laurent,,
leisure and relaxation,multi-sport,pétanque,montréal,rosemont-la petite-patrie,,
sports,multi-sport,golf,montréal,l'île-bizard-sainte-geneviève,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
sports,multi-sport,piste d'athlétisme (400m) et équipements,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,pataugeoire,montréal,montréal-nord,,
recreational,multi-sport,basketball,montréal,saint-léonard,,
sports,multi-sport,tennis,montréal,lasalle,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lasalle,,
recreational,multi-sport,pataugeoire,montréal,lachine,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,basketball,montréal,le sud-ouest,,
recreational,multi-sport,patinoire avec bandes,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
leisure and relaxation,multi-sport,ping-pong,montréal,le plateau-mont-royal,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,ahuntsic-cartierville,,
recreational,multi-sport,pataugeoire,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
sports,multi-sport,tennis,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,pierrefonds-roxboro,,
outdoor,multi-sport,grève / plage,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,saint-laurent,,
recreational,multi-sport,patinoire avec bandes,montréal,verdun,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
outdoor,multi-sport,aire de pique-nique,montréal,ville-marie,,
outdoor,multi-sport,aire de pique-nique,montréal,mercier-hochelaga-maisonneuve,,
sports,multi-sport,soccer / football,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,jeux d'eau,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,patinoire avec bandes,montréal,saint-laurent,,
sports,multi-sport,soccer sous-terrain à 7,montréal,ahuntsic-cartierville,,
outdoor,multi-sport,rampe de mise à l'eau / descente de bateaux,montréal,l'île-bizard-sainte-geneviève,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer / football,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,saint-léonard,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
recreational,multi-sport,jeux d'eau,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,croquet,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,pétanque,montréal,lasalle,,
recreational,multi-sport,patinoire sans bandes,montréal,ahuntsic-cartierville,,
outdoor,multi-sport,boisé,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer à 11,montréal,pierrefonds-roxboro,,
sports,multi-sport,soccer / football,montréal,saint-léonard,,
recreational,multi-sport,basketball,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,outremont,,
recreational,multi-sport,jeux d'eau,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lasalle,,
leisure and relaxation,multi-sport,scène,montréal,saint-laurent,,
leisure and relaxation,multi-sport,palet,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,ping-pong,montréal,rosemont-la petite-patrie,,
sports,multi-sport,soccer à 7,montréal,lasalle,,
sports,multi-sport,soccer à 11,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,verdun,,
sports,multi-sport,soccer / football,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,anjou,,
recreational,multi-sport,piscine extérieure,montréal,pierrefonds-roxboro,,
recreational,multi-sport,jeux d'eau,montréal,le plateau-mont-royal,,
outdoor,multi-sport,piste cyclable,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le sud-ouest,,
sports,multi-sport,soccer à 7,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,piste d'athlétisme (400m) et équipements,montréal,saint-léonard,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,pierrefonds-roxboro,,
leisure and relaxation,multi-sport,fer / galet,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,pierrefonds-roxboro,,
sports,multi-sport,balle,montréal,le sud-ouest,,
sports,multi-sport,soccer à 11,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,patinoire avec bandes,montréal,montréal-nord,,
recreational,multi-sport,volleyball de plage,montréal,le sud-ouest,,
recreational,multi-sport,volleyball de plage,montréal,le plateau-mont-royal,,
sports,multi-sport,balle,montréal,pierrefonds-roxboro,,
sports,multi-sport,balle,montréal,pierrefonds-roxboro,,
outdoor,multi-sport,abri soleil,montréal,mercier-hochelaga-maisonneuve,,
outdoor,multi-sport,abri soleil,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
sports,multi-sport,soccer à 7,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lachine,,
leisure and relaxation,multi-sport,ping-pong,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,balle au mur,montréal,rivière-des-prairies-pointe-aux-trembles,,
outdoor,multi-sport,aire de pique-nique,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le sud-ouest,,
recreational,multi-sport,patinoire sans bandes,montréal,le plateau-mont-royal,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
outdoor,multi-sport,sentier pédestre,montréal,lachine,,
sports,multi-sport,soccer à 11,montréal,le sud-ouest,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
sports,multi-sport,soccer à 4-5,montréal,montréal-nord,,
leisure and relaxation,multi-sport,aire de glissade,montréal,verdun,,
leisure and relaxation,multi-sport,belvédère,montréal,l'île-bizard-sainte-geneviève,,
leisure and relaxation,multi-sport,anneau / rond de glace,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,pétanque,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,piscine extérieure,montréal,lachine,,
outdoor,multi-sport,abri soleil,montréal,saint-laurent,,
recreational,multi-sport,pataugeoire,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lasalle,,
outdoor,multi-sport,sentier de ski de fond,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,piste d'athlétisme (400m) et équipements,montréal,montréal-nord,,
recreational,multi-sport,patinoire 4 saisons,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,volleyball de plage,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lasalle,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le sud-ouest,,
leisure and relaxation,multi-sport,anneau / rond de glace,montréal,saint-laurent,,
outdoor,multi-sport,sentier pédestre,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu combiné,montréal,saint-léonard,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,montréal-nord,,
leisure and relaxation,multi-sport,pétanque,montréal,anjou,,
leisure and relaxation,multi-sport,pétanque,montréal,rosemont-la petite-patrie,,
leisure and relaxation,multi-sport,fort,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
outdoor,multi-sport,sentier pédestre,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,jeux d'eau,montréal,verdun,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,l'île-bizard-sainte-geneviève,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,outremont,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,ahuntsic-cartierville,,
recreational,multi-sport,patinoire avec bandes,montréal,ville-marie,,
recreational,multi-sport,basketball,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,bocce,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,pierrefonds-roxboro,,
leisure and relaxation,multi-sport,aire de glissade,montréal,ahuntsic-cartierville,,
recreational,multi-sport,aire de planche à roulette,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
sports,multi-sport,soccer à 7,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,ville-marie,,
recreational,multi-sport,basketball,montréal,villeray-saint-michel-parc-extension,,
outdoor,multi-sport,sentier pédestre,montréal,saint-laurent,,
recreational,multi-sport,basketball,montréal,saint-léonard,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
recreational,multi-sport,pastille - basketball,montréal,verdun,,
leisure and relaxation,multi-sport,pétanque,montréal,pierrefonds-roxboro,,
recreational,multi-sport,patinoire sans bandes,montréal,lasalle,,
sports,multi-sport,balle,montréal,rosemont-la petite-patrie,,
sports,multi-sport,soccer sous-terrain à 7,montréal,ahuntsic-cartierville,,
sports,multi-sport,soccer à 4-5,montréal,côte-des-neiges-notre-dame-de-grâce,,
outdoor,multi-sport,sentier pédestre,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,patinoire sans bandes,montréal,rosemont-la petite-patrie,,
sports,multi-sport,tennis,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
sports,multi-sport,tennis,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lachine,,
recreational,multi-sport,jeux d'eau,montréal,rosemont-la petite-patrie,,
outdoor,multi-sport,rampe de mise à l'eau / descente de bateaux,montréal,pierrefonds-roxboro,,
leisure and relaxation,multi-sport,fer / galet,montréal,ahuntsic-cartierville,,
sports,multi-sport,balle,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,patinoire avec bandes,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le plateau-mont-royal,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
outdoor,multi-sport,sentier pédestre,montréal,rosemont-la petite-patrie,,
outdoor,multi-sport,aire de pêche autorisée,montréal,lachine,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,verdun,,
recreational,multi-sport,piscine extérieure,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,volleyball de plage,montréal,saint-laurent,,
recreational,multi-sport,patinoire avec bandes,montréal,saint-laurent,,
sports,multi-sport,tennis,montréal,saint-léonard,,
sports,multi-sport,golf,montréal,anjou,,
sports,multi-sport,soccer sous-terrain à 4-5,montréal,ahuntsic-cartierville,,
recreational,multi-sport,basketball,montréal,montréal-nord,,
sports,multi-sport,piste d'athlétisme (400m) et équipements,montréal,saint-laurent,,
recreational,multi-sport,piscine extérieure,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,mercier-hochelaga-maisonneuve,,
outdoor,multi-sport,sentier de ski de fond,montréal,ahuntsic-cartierville,,
recreational,multi-sport,pastille - basketball,montréal,saint-laurent,,
recreational,multi-sport,patinoire sans bandes,montréal,outremont,,
leisure and relaxation,multi-sport,bocce,montréal,saint-léonard,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,multisport,montréal,saint-léonard,,
recreational,multi-sport,pataugeoire,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,patinoire sans bandes,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,outremont,,
outdoor,multi-sport,aire de pêche autorisée,montréal,lachine,,
sports,multi-sport,soccer à 4-5,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lachine,,
sports,multi-sport,balle,montréal,lachine,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
recreational,multi-sport,pataugeoire,montréal,montréal-nord,,
recreational,multi-sport,volleyball de plage,montréal,le plateau-mont-royal,,
playground - children,multi-sport,aire de jeu combiné,montréal,anjou,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ville-marie,,
sports,multi-sport,tennis,montréal,lachine,,
leisure and relaxation,multi-sport,bocce,montréal,saint-léonard,,
recreational,multi-sport,pataugeoire,montréal,saint-léonard,,
sports,multi-sport,soccer à 4-5,montréal,pierrefonds-roxboro,,
recreational,multi-sport,patinoire avec bandes,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer à 11,montréal,côte-des-neiges-notre-dame-de-grâce,,
outdoor,multi-sport,sentier de raquette,montréal,le sud-ouest,,
leisure and relaxation,multi-sport,pétanque,montréal,saint-laurent,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,basketball,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu combiné,montréal,villeray-saint-michel-parc-extension,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,saint-léonard,,
sports,multi-sport,balle,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,pataugeoire,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,patinoire avec bandes,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,saint-léonard,,
recreational,multi-sport,patinoire avec bandes,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,patinoire 4 saisons,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,montréal-nord,,
recreational,multi-sport,pataugeoire,montréal,villeray-saint-michel-parc-extension,,
sports,multi-sport,balle,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,anjou,,
sports,multi-sport,soccer sous-terrain à 7,montréal,lasalle,,
sports,multi-sport,soccer à 9,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
leisure and relaxation,multi-sport,pétanque,montréal,mercier-hochelaga-maisonneuve,,
outdoor,multi-sport,aire de pique-nique,montréal,côte-des-neiges-notre-dame-de-grâce,,
leisure and relaxation,multi-sport,anneau / rond de glace,montréal,saint-léonard,,
outdoor,multi-sport,piste cyclable,montréal,pierrefonds-roxboro,,
outdoor,multi-sport,sentier de ski de fond,montréal,ville-marie,,
sports,multi-sport,balle,montréal,le sud-ouest,,
recreational,multi-sport,pataugeoire,montréal,verdun,,
recreational,multi-sport,piscine extérieure,montréal,lachine,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
sports,multi-sport,balle,montréal,ahuntsic-cartierville,,
recreational,multi-sport,piscine extérieure,montréal,saint-léonard,,
sports,multi-sport,tennis,montréal,verdun,,
recreational,multi-sport,piscine extérieure,montréal,ville-marie,,
leisure and relaxation,multi-sport,belvédère,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lachine,,
outdoor,multi-sport,aire de pique-nique,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,montréal-nord,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,verdun,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,montréal-nord,,
sports,multi-sport,balle,montréal,ahuntsic-cartierville,,
sports,multi-sport,soccer à 11,montréal,verdun,,
sports,multi-sport,soccer sous-terrain à 7,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ahuntsic-cartierville,,
recreational,multi-sport,basketball,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,montréal-nord,,
sports,multi-sport,soccer à 7,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,balle,montréal,le plateau-mont-royal,,
recreational,multi-sport,patinoire avec bandes,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le plateau-mont-royal,,
outdoor,multi-sport,piste cyclable,montréal,rosemont-la petite-patrie,,
sports,multi-sport,soccer à 7,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,pétanque,montréal,ahuntsic-cartierville,,
recreational,multi-sport,jeux d'eau,montréal,verdun,,
sports,multi-sport,soccer à 11,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,ville-marie,,
sports,multi-sport,soccer à 7,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
sports,multi-sport,soccer à 11,montréal,verdun,,
recreational,multi-sport,jeux d'eau,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,bocce,montréal,montréal-nord,,
recreational,multi-sport,pataugeoire,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,pétanque,montréal,lachine,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,le sud-ouest,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,outremont,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,le sud-ouest,,
outdoor,multi-sport,aire de pique-nique,montréal,lachine,,
sports,multi-sport,soccer à 11,montréal,lachine,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,ville-marie,,
sports,multi-sport,soccer / football,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,montréal-nord,,
recreational,multi-sport,patinoire avec bandes,montréal,rosemont-la petite-patrie,,
outdoor,multi-sport,aire de pique-nique,montréal,côte-des-neiges-notre-dame-de-grâce,,
leisure and relaxation,multi-sport,anneau / rond de glace,montréal,saint-laurent,,
recreational,multi-sport,volleyball de plage,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,patinoire sans bandes,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,ahuntsic-cartierville,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,anneau / rond de glace,montréal,lasalle,,
leisure and relaxation,multi-sport,anneau / rond de glace,montréal,rosemont-la petite-patrie,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,le plateau-mont-royal,,
outdoor,multi-sport,quai,montréal,lachine,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lasalle,,
leisure and relaxation,multi-sport,pétanque,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,le sud-ouest,,
recreational,multi-sport,pataugeoire,montréal,saint-léonard,,
sports,multi-sport,tennis,montréal,lasalle,,
recreational,multi-sport,patinoire avec bandes,montréal,verdun,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,pierrefonds-roxboro,,
sports,multi-sport,balle,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,aire d'entraînement pour adultes,montréal,pierrefonds-roxboro,,
sports,multi-sport,soccer à 7,montréal,rivière-des-prairies-pointe-aux-trembles,,
recreational,multi-sport,basketball,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,l'île-bizard-sainte-geneviève,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
recreational,multi-sport,aire de planche à roulette,montréal,lasalle,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lachine,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,lasalle,,
leisure and relaxation,multi-sport,ping-pong,montréal,le sud-ouest,,
recreational,multi-sport,basketball,montréal,ville-marie,,
leisure and relaxation,multi-sport,pétanque,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,bocce,montréal,villeray-saint-michel-parc-extension,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,saint-laurent,,
sports,multi-sport,tennis,montréal,montréal-nord,,
leisure and relaxation,multi-sport,pétanque,montréal,verdun,,
sports,multi-sport,rugby / soccer à 11,montréal,côte-des-neiges-notre-dame-de-grâce,,
leisure and relaxation,multi-sport,belvédère,montréal,ville-marie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,saint-laurent,,
sports,multi-sport,soccer à 11,montréal,rosemont-la petite-patrie,,
recreational,multi-sport,jeux d'eau,montréal,saint-laurent,,
recreational,multi-sport,volleyball de plage,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,volleyball de plage,montréal,saint-laurent,,
recreational,multi-sport,piscine extérieure,montréal,lachine,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,saint-laurent,,
recreational,multi-sport,aire de planche à roulette,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,basketball,montréal,lachine,,
leisure and relaxation,multi-sport,aire d'exercice canin,montréal,le sud-ouest,,
leisure and relaxation,multi-sport,aire de glissade,montréal,mercier-hochelaga-maisonneuve,,
leisure and relaxation,multi-sport,aire de glissade,montréal,saint-laurent,,
recreational,multi-sport,jeux d'eau,montréal,saint-léonard,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,rivière-des-prairies-pointe-aux-trembles,,
leisure and relaxation,multi-sport,belvédère,montréal,pierrefonds-roxboro,,
sports,multi-sport,football,montréal,ahuntsic-cartierville,,
leisure and relaxation,multi-sport,scène,montréal,ville-marie,,
recreational,multi-sport,basketball,montréal,lasalle,,
outdoor,multi-sport,quai,montréal,lachine,,
recreational,multi-sport,jeux d'eau,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,outremont,,
recreational,multi-sport,patinoire sans bandes,montréal,côte-des-neiges-notre-dame-de-grâce,,
leisure and relaxation,multi-sport,scène,montréal,rosemont-la petite-patrie,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,jeux d'eau,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,mercier-hochelaga-maisonneuve,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,côte-des-neiges-notre-dame-de-grâce,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,outremont,,
recreational,multi-sport,jeux d'eau,montréal,rosemont-la petite-patrie,,
sports,multi-sport,balle,montréal,mercier-hochelaga-maisonneuve,,
recreational,multi-sport,patinoire avec bandes,montréal,rivière-des-prairies-pointe-aux-trembles,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,lachine,,
leisure and relaxation,multi-sport,fer / galet,montréal,ahuntsic-cartierville,,
recreational,multi-sport,volleyball de plage,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu 18 mois à 5 ans,montréal,montréal-nord,,
recreational,multi-sport,jeux d'eau,montréal,saint-laurent,,
playground - children,multi-sport,aire de jeu  5 à 12 ans,montréal,villeray-saint-michel-parc-extension,,
recreational,multi-sport,patinoire avec bandes,montréal,ahuntsic-cartierville,,
